time_delta,status_norm,domain_norm,status_norm,responseMethod_raw,responseSize_raw,requestMethod_raw,URL_raw,peerStatusHost_raw,mimeType_raw ,class_label
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
6,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
6,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
5,5,891,0,TCP_DENIED/403,3823,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
